team_name,team_slug,player_name,player_url,player_image_thumb,jersey_number,position,roster_category,player_category,player_image,full_name,team_logo,club_slug,jersey_number_profile,profile_name,profile_height,profile_weight,profile_date_of_birth,profile_birthplace,profile_position,profile_footedness,profile_roster_category,profile_player_category,profile_pronunciation,profile_national_team,profile_player_status
Atlanta United,atlanta-united,S. Gregersen,https://www.mlssoccer.com/players/stian-gregersen,"https://images.mlssoccer.com/image/private/w_60,c_scale/f_auto/mls/pu4vabahesl1t2emad54",Defender,Senior,,,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/mls/pu4vabahesl1t2emad54.png,Stian Gregersen,https://images.mlssoccer.com/image/upload/t_q-best/v1747499879/assets/logos/mls-clubs/Club_Logo-Atlanta_jtk7ku.png,atlanta-united,5,Stian  Gregersen,"6' 3""",183 lbs,5.17.1995 (30),"Kristiansund,
             Norway",Defender,Right,Senior,,,,
Atlanta United,atlanta-united,R. Hernández,https://www.mlssoccer.com/players/ronald-hernandez,"https://images.mlssoccer.com/image/private/w_60,c_scale/f_auto/mls/brqjfabvc9k4cicslm2w",Defender,Senior,,,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/mls/brqjfabvc9k4cicslm2w.png,Ronald Hernandez,https://images.mlssoccer.com/image/upload/t_q-best/v1747499879/assets/logos/mls-clubs/Club_Logo-Atlanta_jtk7ku.png,atlanta-united,2,Ronald  Hernández,"5' 7""",154 lbs,9.21.1997 (28),"Barinas,
             Venezuela",Defender,Right,Senior,,Ronald Her-nan-dez,,
Atlanta United,atlanta-united,J. Hibbert,https://www.mlssoccer.com/players/jayden-hibbert,"https://images.mlssoccer.com/image/private/w_60,c_scale/f_auto/mls/xlj8dlxf7lcep2hdlssq",Goalkeeper,Senior,,,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/mls/xlj8dlxf7lcep2hdlssq.png,Jayden Hibbert,https://images.mlssoccer.com/image/upload/t_q-best/v1747499879/assets/logos/mls-clubs/Club_Logo-Atlanta_jtk7ku.png,atlanta-united,42,Jayden  Hibbert,,,8.5.2004 (21),"Teaneck, NJ,
             USA",Goalkeeper,,Senior,,,,
Atlanta United,atlanta-united,L. Hoyos,https://www.mlssoccer.com/players/lucas-hoyos,"https://images.mlssoccer.com/image/private/w_60,c_scale/f_auto/mls/qaed57mvty0m8goclzir",Goalkeeper,Senior,International,,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/mls/qaed57mvty0m8goclzir.png,Lucas Hoyos,https://images.mlssoccer.com/image/upload/t_q-best/v1747499879/assets/logos/mls-clubs/Club_Logo-Atlanta_jtk7ku.png,atlanta-united,1,Lucas  Hoyos,,,4.29.1989 (36),"Guaymallén,
             Argentina",Goalkeeper,,Senior,International,,,
Atlanta United,atlanta-united,T. Jacob,https://www.mlssoccer.com/players/tomas-jacob,"https://images.mlssoccer.com/image/private/w_60,c_scale/f_auto/mls/ejtolq4003a9ro6lrtrt",Defender,Senior,"International, U22 Initiative",,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/mls/ejtolq4003a9ro6lrtrt.png,Tomás Jacob,https://images.mlssoccer.com/image/upload/t_q-best/v1747499879/assets/logos/mls-clubs/Club_Logo-Atlanta_jtk7ku.png,atlanta-united,55,Tomás  Jacob,"6' 2""",163 lbs,4.20.2004 (21),"Santa Fe,
             Argentina",Defender,,Senior,"International, U22 Initiative",,,
Atlanta United,atlanta-united,E. Latte Lath,https://www.mlssoccer.com/players/emmanuel-latte-lath,"https://images.mlssoccer.com/image/private/w_60,c_scale/f_auto/mls/x9n5h7fznijnifmamecj",Forward,Senior,"Designated Player, International",,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/mls/x9n5h7fznijnifmamecj.png,Emmanuel Latte Lath,https://images.mlssoccer.com/image/upload/t_q-best/v1747499879/assets/logos/mls-clubs/Club_Logo-Atlanta_jtk7ku.png,atlanta-united,9,Emmanuel  Latte Lath,"5' 10""",165 lbs,1.1.1999 (27),"Abidjan,
             Côte d'Ivoire",Forward,,Senior,"Designated Player, International",,,
Atlanta United,atlanta-united,S. Lobjanidze,https://www.mlssoccer.com/players/saba-lobjanidze,"https://images.mlssoccer.com/image/private/w_60,c_scale/f_auto/mls/dsjxh78teujelym8g2wk",Midfielder,Senior,,,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/mls/dsjxh78teujelym8g2wk.png,Saba Lobjanidze,https://images.mlssoccer.com/image/upload/t_q-best/v1747499879/assets/logos/mls-clubs/Club_Logo-Atlanta_jtk7ku.png,atlanta-united,11,Saba  Lobjanidze,"5' 9""",159 lbs,12.18.1994 (31),"Tiflis,
             Georgia",Midfielder,Left,Senior,,,,
Atlanta United,atlanta-united,E. Mihaj,https://www.mlssoccer.com/players/enea-mihaj,"https://images.mlssoccer.com/image/private/w_60,c_scale/f_auto/mls/br01f6hwxpstszw1i9go",Defender,Senior,International,,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/mls/br01f6hwxpstszw1i9go.png,Enea Mihaj,https://images.mlssoccer.com/image/upload/t_q-best/v1747499879/assets/logos/mls-clubs/Club_Logo-Atlanta_jtk7ku.png,atlanta-united,4,Enea  Mihaj,"6' 1""",172 lbs,7.5.1998 (27),"Berat,
             Albania",Defender,,Senior,International,,,
Atlanta United,atlanta-united,A. Miranchuk,https://www.mlssoccer.com/players/aleksey-miranchuk,"https://images.mlssoccer.com/image/private/w_60,c_scale/f_auto/mls/mqkycwfvqhjzhwwpyv0u",Midfielder,Senior,"Designated Player, International",,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/mls/mqkycwfvqhjzhwwpyv0u.png,Alexey Miranchuk,https://images.mlssoccer.com/image/upload/t_q-best/v1747499879/assets/logos/mls-clubs/Club_Logo-Atlanta_jtk7ku.png,atlanta-united,59,Alexey  Miranchuk,"6' 0""",163 lbs,10.17.1995 (30),"Slavyansk-na-Kubani,
             Russia",Midfielder,Left,Senior,"Designated Player, International",,,
Atlanta United,atlanta-united,T. Muyumba,https://www.mlssoccer.com/players/tristan-muyumba,"https://images.mlssoccer.com/image/private/w_60,c_scale/f_auto/mls/v2dpon3jc4kygkhhd9vm",Midfielder,Senior,,,,,,,,,,,,,,,,,,,
Atlanta United,atlanta-united,F. Picault,https://www.mlssoccer.com/players/fafa-picault,"https://images.mlssoccer.com/image/private/w_60,c_scale/f_auto/mls/xlsij6slnqv5mhiibe1t",Forward,Senior,,,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/mls/xlsij6slnqv5mhiibe1t.png,Fafa Picault,https://images.mlssoccer.com/image/upload/t_q-best/v1747499879/assets/logos/mls-clubs/Club_Logo-Atlanta_jtk7ku.png,atlanta-united,22,Fafà  Picault,"5' 8""",139 lbs,2.23.1991 (35),"New York City, NY,
             USA",Forward,Right,Senior,,,,
Atlanta United,atlanta-united,S. Pita,https://www.mlssoccer.com/players/santiago-pita,"https://images.mlssoccer.com/image/private/w_60,c_scale/f_auto/mls/uzwpe3xcg3rtldnop0pc",Midfielder,Supplemental Slots 25-28,Homegrown,,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/mls/uzwpe3xcg3rtldnop0pc.png,Santiago Pita,https://images.mlssoccer.com/image/upload/t_q-best/v1747499879/assets/logos/mls-clubs/Club_Logo-Atlanta_jtk7ku.png,atlanta-united,40,Santiago  Pita,,,6.1.2007 (18),"Weston, FL,
             USA",Midfielder,,Supplemental Slots 25-28,Homegrown,,,
Atlanta United,atlanta-united,W. Reilly,https://www.mlssoccer.com/players/will-reilly,"https://images.mlssoccer.com/image/private/w_60,c_scale/f_auto/mls/cjqhcxeesyt4gys8bxzr",Midfielder,Supplemental Slots 25-28,Homegrown,,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/mls/cjqhcxeesyt4gys8bxzr.png,Will Reilly,https://images.mlssoccer.com/image/upload/t_q-best/v1747499879/assets/logos/mls-clubs/Club_Logo-Atlanta_jtk7ku.png,atlanta-united,28,Will  Reilly,"5' 10""",159 lbs,12.3.2002 (23),"Decatur, GA,
             USA",Midfielder,,Supplemental Slots 25-28,Homegrown,,,
Atlanta United,atlanta-united,C. Sanchez,https://www.mlssoccer.com/players/cooper-sanchez,"https://images.mlssoccer.com/image/private/w_60,c_scale/f_auto/mls/li5g3idtbugyv7nrwdll",Midfielder,Supplemental Slots 29-30,Homegrown,,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/mls/li5g3idtbugyv7nrwdll.png,Cooper Sanchez,https://images.mlssoccer.com/image/upload/t_q-best/v1747499879/assets/logos/mls-clubs/Club_Logo-Atlanta_jtk7ku.png,atlanta-united,48,Cooper  Sanchez,,,3.26.2008 (17),"unknown,
             USA",Midfielder,,Supplemental Slots 29-30,Homegrown,,,
Atlanta United,atlanta-united,S. Santos,https://www.mlssoccer.com/players/sergio-santos,"https://images.mlssoccer.com/image/private/w_60,c_scale/f_auto/mls/occvqdbzqo2i086m7zzj",Forward,Senior,,,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/mls/occvqdbzqo2i086m7zzj.png,S. Santos,https://images.mlssoccer.com/image/upload/t_q-best/v1747499879/assets/logos/mls-clubs/Club_Logo-Atlanta_jtk7ku.png,atlanta-united,19,Sergio  Santos,"6' 0""",185 lbs,9.4.1994 (31),"Belo Horizonte,
             Brazil",Forward,Right,Senior,,,,
Atlanta United,atlanta-united,C. Togashi,https://www.mlssoccer.com/players/cayman-togashi,"https://images.mlssoccer.com/image/private/w_60,c_scale/f_auto/mls/d4c1h41dejbbpsk5nnig",Forward,Senior,,,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/mls/d4c1h41dejbbpsk5nnig.png,Cayman Togashi,https://images.mlssoccer.com/image/upload/t_q-best/v1747499879/assets/logos/mls-clubs/Club_Logo-Atlanta_jtk7ku.png,atlanta-united,30,Cayman  Togashi,"5' 10""",,8.10.1993 (32),"New York City, NY,
             USA",Forward,,Senior,,,,
Atlanta United,atlanta-united,A. Torres,https://www.mlssoccer.com/players/adyn-torres,"https://images.mlssoccer.com/image/private/w_60,c_scale/f_auto/mls/w0o34v9ua2lmdn5cguub",Defender,Supplemental Slots 25-28,Homegrown,,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/mls/w0o34v9ua2lmdn5cguub.png,Adyn Torres,,,23,Adyn  Torres,,,11.13.2007 (18),"Silver Spring, MD,
             USA",Defender,,Supplemental Slots 25-28,Homegrown,,,
Austin Fc,austin-fc,J. Bell,https://www.mlssoccer.com/players/jon-bell,"https://images.mlssoccer.com/image/private/w_60,c_scale/f_auto/mls/jmjbsyiglmuh2roqvctu",Defender,Supplemental Slots 21-24,,,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/mls/jmjbsyiglmuh2roqvctu.png,Jon Bell,https://images.mlssoccer.com/image/upload/t_q-best/v1747499975/assets/logos/mls-clubs/Club_Logo-Austin_pa9xtu.png,austin-fc,15,Jon  Bell,"5' 11""",165 lbs,8.26.1997 (28),"Rockville, MD,
             USA",Defender,,Supplemental Slots 21-24,,,,
Austin Fc,austin-fc,G. Biro,https://www.mlssoccer.com/players/guilherme-biro,"https://images.mlssoccer.com/image/private/w_60,c_scale/f_auto/mls/qwmrdqykret694cblckx",Defender,Senior,International,,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/mls/qwmrdqykret694cblckx.png,Guilherme Biro,https://images.mlssoccer.com/image/upload/t_q-best/v1747499975/assets/logos/mls-clubs/Club_Logo-Austin_pa9xtu.png,austin-fc,29,Guilherme  Biro,"6' 2""",,5.1.2000 (25),"Curitiba,
             Brazil",Defender,,Senior,International,Geel-AIR-meh Bee-ro,,
Austin Fc,austin-fc,M. Desler,https://www.mlssoccer.com/players/mikkel-desler,"https://images.mlssoccer.com/image/private/w_60,c_scale/f_auto/mls/eeo3jawypuyg74zao5qp",Defender,Senior,,,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/mls/eeo3jawypuyg74zao5qp.png,Mikkel Desler,https://images.mlssoccer.com/image/upload/t_q-best/v1747499975/assets/logos/mls-clubs/Club_Logo-Austin_pa9xtu.png,austin-fc,3,Mikkel  Desler,"6' 0""",161 lbs,2.19.1995 (31),"Assens,
             Denmark",Defender,Right,Senior,,,,
Austin Fc,austin-fc,M. Djordjević,https://www.mlssoccer.com/players/mateja-djordjevic,"https://images.mlssoccer.com/image/private/w_60,c_scale/f_auto/mls/goyquzcomrbrcjrk5pr6",Defender,Senior,"U22 Initiative, International",,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/mls/goyquzcomrbrcjrk5pr6.png,Mateja Djordjevic,https://images.mlssoccer.com/image/upload/t_q-best/v1747499975/assets/logos/mls-clubs/Club_Logo-Austin_pa9xtu.png,austin-fc,35,Mateja  Djordjević,"6' 3""",,1.17.2003 (23),"Kruševac,
             Serbia",Defender,,Senior,"U22 Initiative, International",,,
Austin Fc,austin-fc,N. Dubersarsky,https://www.mlssoccer.com/players/nicolas-dubersarsky,"https://images.mlssoccer.com/image/private/w_60,c_scale/f_auto/mls/wtameqwtqe84lptdla6f",Midfielder,Senior,"U22 Initiative, International",,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/mls/wtameqwtqe84lptdla6f.png,Nicolás Dubersarsky,https://images.mlssoccer.com/image/upload/t_q-best/v1747499975/assets/logos/mls-clubs/Club_Logo-Austin_pa9xtu.png,austin-fc,20,Nicolás  Dubersarsky,"6' 2""",,12.21.2004 (21),"Córdoba,
             Argentina",Midfielder,,Senior,"U22 Initiative, International",,,
Austin Fc,austin-fc,C. Fodrey,https://www.mlssoccer.com/players/cj-fodrey,"https://images.mlssoccer.com/image/private/w_60,c_scale/f_auto/mls/uiou4obyw0quqlw04qcu",Forward,Supplemental Slots 21-24,Generation adidas,,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/mls/uiou4obyw0quqlw04qcu.png,CJ Fodrey,https://images.mlssoccer.com/image/upload/t_q-best/v1747499975/assets/logos/mls-clubs/Club_Logo-Austin_pa9xtu.png,austin-fc,19,CJ  Fodrey,"6' 2""",159 lbs,2.10.2004 (22),"San Jose, CA,
             USA",Forward,,Supplemental Slots 21-24,Generation adidas,FOH-dray,,
Austin Fc,austin-fc,J. Gallagher,https://www.mlssoccer.com/players/jon-gallagher,"https://images.mlssoccer.com/image/private/w_60,c_scale/f_auto/mls/x8hwlaysm69sqn7agq6d",Defender,Senior,,,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/mls/x8hwlaysm69sqn7agq6d.png,Jon Gallagher,https://images.mlssoccer.com/image/upload/t_q-best/v1747499975/assets/logos/mls-clubs/Club_Logo-Austin_pa9xtu.png,austin-fc,17,Jon  Gallagher,"5' 9""",159 lbs,2.23.1996 (30),"Dundalk,
             Ireland",Defender,,Senior,,GAL-uh-her,,
Austin Fc,austin-fc,B. Hines-Ike,https://www.mlssoccer.com/players/brendan-hines-ike,"https://images.mlssoccer.com/image/private/w_60,c_scale/f_auto/mls/ytsgovcpcwd4fwdwls6x",Defender,Senior,,,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/mls/ytsgovcpcwd4fwdwls6x.png,Brendan Hines-Ike,https://images.mlssoccer.com/image/upload/t_q-best/v1747499975/assets/logos/mls-clubs/Club_Logo-Austin_pa9xtu.png,austin-fc,4,Brendan  Hines-Ike,"6' 1""",170 lbs,11.30.1994 (31),"Denver, CO,
             USA",Defender,,Senior,,HAI-nz EYE-k,,
Austin Fc,austin-fc,Ž. Kolmanič,https://www.mlssoccer.com/players/zan-kolmanic,"https://images.mlssoccer.com/image/private/w_60,c_scale/f_auto/mls/x3lvqxpujkli3ryjcq0j",Defender,Senior,,,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/mls/x3lvqxpujkli3ryjcq0j.png,Žan Kolmanič,https://images.mlssoccer.com/image/upload/t_q-best/v1747499975/assets/logos/mls-clubs/Club_Logo-Austin_pa9xtu.png,austin-fc,23,Žan  Kolmanič,"5' 10""",152 lbs,3.3.2000 (26),"Celje,
             Slovenia",Defender,,Senior,,Jhan COLE-ma-nitch,Slovenia,
Austin Fc,austin-fc,D. Las,https://www.mlssoccer.com/players/damian-las,"https://images.mlssoccer.com/image/private/w_60,c_scale/f_auto/mls/b8ybmqhskll7zfl1qrkl",Goalkeeper,Supplemental Slots 21-24,Homegrown,,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/mls/b8ybmqhskll7zfl1qrkl.png,Damian Las,https://images.mlssoccer.com/image/upload/t_q-best/v1747499975/assets/logos/mls-clubs/Club_Logo-Austin_pa9xtu.png,austin-fc,12,Damian  Las,"6' 0""",161 lbs,4.11.2002 (23),"Des Plaines, IL,
             USA",Goalkeeper,,Supplemental Slots 21-24,Homegrown,LAH-s,,
Austin Fc,austin-fc,J. Nelson,https://www.mlssoccer.com/players/jayden-nelson,"https://images.mlssoccer.com/image/private/w_60,c_scale/f_auto/mls/bbqqwfsscvx9y1yda7fh",Forward,Senior,,,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/mls/bbqqwfsscvx9y1yda7fh.png,Jayden Nelson,https://images.mlssoccer.com/image/upload/t_q-best/v1747499975/assets/logos/mls-clubs/Club_Logo-Austin_pa9xtu.png,austin-fc,7,Jayden  Nelson,"5' 7""",148 lbs,9.26.2002 (23),"Brampton, ON,
             Canada",Forward,,Senior,,,,
Austin Fc,austin-fc,D. Pereira,https://www.mlssoccer.com/players/daniel-pereira,"https://images.mlssoccer.com/image/private/w_60,c_scale/f_auto/mls/jghvnhuezbhz9xg8zbwb",Midfielder,Senior,,,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/mls/jghvnhuezbhz9xg8zbwb.png,Dani Pereira,https://images.mlssoccer.com/image/upload/t_q-best/v1747499975/assets/logos/mls-clubs/Club_Logo-Austin_pa9xtu.png,austin-fc,8,Dani  Pereira,"5' 9""",150 lbs,7.14.2000 (25),"Caracas,
             Venezuela",Midfielder,,Senior,,Pe-REY-rah,,
Austin Fc,austin-fc,C. Ramírez,https://www.mlssoccer.com/players/christian-ramirez,"https://images.mlssoccer.com/image/private/w_60,c_scale/f_auto/mls/rglhee3wtmd7vjpxmnzj",Forward,Senior,,,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/mls/rglhee3wtmd7vjpxmnzj.png,Christian Ramírez,https://images.mlssoccer.com/image/upload/t_q-best/v1747499975/assets/logos/mls-clubs/Club_Logo-Austin_pa9xtu.png,austin-fc,21,Christian  Ramírez,"6' 2""",187 lbs,4.4.1991 (34),"Garden Grove, CA,
             USA",Forward,Right,Senior,,,,
Austin Fc,austin-fc,J. Rosales,https://www.mlssoccer.com/players/joseph-rosales,"https://images.mlssoccer.com/image/private/w_60,c_scale/f_auto/mls/rcotfkwejr8hhyujsddb",Midfielder,Senior,,,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/mls/rcotfkwejr8hhyujsddb.png,Joseph Rosales,https://images.mlssoccer.com/image/upload/t_q-best/v1747499975/assets/logos/mls-clubs/Club_Logo-Austin_pa9xtu.png,austin-fc,30,Joseph  Rosales,"5' 11""",161 lbs,11.6.2000 (25),"Tegucigalpa,
             Honduras",Midfielder,Left,Senior,,YO-seph,,
Austin Fc,austin-fc,B. Sabovic,https://www.mlssoccer.com/players/besard-sabovic,"https://images.mlssoccer.com/image/private/w_60,c_scale/f_auto/mls/p7s5cjagc2broposq3mv",Midfielder,Senior,International,,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/mls/p7s5cjagc2broposq3mv.png,Besard Sabovic,https://images.mlssoccer.com/image/upload/t_q-best/v1747499975/assets/logos/mls-clubs/Club_Logo-Austin_pa9xtu.png,austin-fc,14,Besard  Sabovic,"6' 1""",170 lbs,1.5.1998 (28),"Stockholm,
             Sweden",Midfielder,,Senior,International,,,
Austin Fc,austin-fc,B. Stuver,https://www.mlssoccer.com/players/brad-stuver,"https://images.mlssoccer.com/image/private/w_60,c_scale/f_auto/mls/vawv4o5zhrxxyonfeaxa",Goalkeeper,Senior,,,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/mls/vawv4o5zhrxxyonfeaxa.png,Brad Stuver,https://images.mlssoccer.com/image/upload/t_q-best/v1747499975/assets/logos/mls-clubs/Club_Logo-Austin_pa9xtu.png,austin-fc,1,Brad  Stuver,"6' 3""",181 lbs,4.16.1991 (34),"Mayfield, OH,
             USA",Goalkeeper,,Senior,,STEW-ver,,
Austin Fc,austin-fc,O. Svatok,https://www.mlssoccer.com/players/oleksandr-svatok,"https://images.mlssoccer.com/image/private/w_60,c_scale/f_auto/mls/rj0cfdwfzbcd3nfvpxsl",Defender,Senior,,,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/mls/rj0cfdwfzbcd3nfvpxsl.png,Oleksandr Svatok,https://images.mlssoccer.com/image/upload/t_q-best/v1747499975/assets/logos/mls-clubs/Club_Logo-Austin_pa9xtu.png,austin-fc,5,Oleksandr  Svatok,"6' 1""",172 lbs,9.27.1994 (31),"Kamianske,
             Ukraine",Defender,,Senior,,,,
